tax_area_description,Market_Cluster_ID,actual_year_built,imprv_det_quality_cd,count,mean,std,min,25%,50%,75%,max,median
SUWANNEE,Springtree_A,1974,3.0,1.0,0.814489511303262,,0.814489511303262,0.814489511303262,0.814489511303262,0.814489511303262,0.814489511303262,0.814489511303262
SUWANNEE,Tioga_A,1974,3.0,1.0,1.2227508438060133,,1.2227508438060133,1.2227508438060133,1.2227508438060133,1.2227508438060133,1.2227508438060133,1.2227508438060133
SUWANNEE,Tioga_A,1975,3.0,1.0,1.0411477349092977,,1.0411477349092977,1.0411477349092977,1.0411477349092977,1.0411477349092977,1.0411477349092977,1.0411477349092977
SUWANNEE,Tioga_A,1977,3.0,1.0,0.5358516321765142,,0.5358516321765142,0.5358516321765142,0.5358516321765142,0.5358516321765142,0.5358516321765142,0.5358516321765142
SUWANNEE,Tioga_A,1986,4.0,1.0,0.8794458006836803,,0.8794458006836803,0.8794458006836803,0.8794458006836803,0.8794458006836803,0.8794458006836803,0.8794458006836803
SUWANNEE,Tioga_A,1988,5.0,2.0,0.869631561168783,0.053044587937142756,0.8321233733331832,0.8508774672509831,0.869631561168783,0.8883856550865828,0.9071397490043828,0.869631561168783
SUWANNEE,Tioga_A,1992,4.0,1.0,0.7909715044737778,,0.7909715044737778,0.7909715044737778,0.7909715044737778,0.7909715044737778,0.7909715044737778,0.7909715044737778
SUWANNEE,Tioga_A,1992,5.0,1.0,0.8473723785452033,,0.8473723785452033,0.8473723785452033,0.8473723785452033,0.8473723785452033,0.8473723785452033,0.8473723785452033
SUWANNEE,Tioga_A,1993,5.0,1.0,0.7546967305466857,,0.7546967305466857,0.7546967305466857,0.7546967305466857,0.7546967305466857,0.7546967305466857,0.7546967305466857
SUWANNEE,Tioga_A,1996,6.0,1.0,0.8813124347292459,,0.8813124347292459,0.8813124347292459,0.8813124347292459,0.8813124347292459,0.8813124347292459,0.8813124347292459
SUWANNEE,Tioga_A,1997,4.0,2.0,0.8079164571623229,0.03765789714104906,0.7812883027286616,0.7946023799454922,0.8079164571623229,0.8212305343791535,0.8345446115959841,0.8079164571623229
SUWANNEE,Tioga_A,1997,5.0,1.0,0.8429582275049062,,0.8429582275049062,0.8429582275049062,0.8429582275049062,0.8429582275049062,0.8429582275049062,0.8429582275049062
SUWANNEE,Tioga_A,1998,4.0,3.0,0.885516495310061,0.024958856269936304,0.8670374122465185,0.8713202282752972,0.8756030443040758,0.8947560368418324,0.913909029379589,0.8756030443040758
SUWANNEE,Tioga_A,1998,5.0,1.0,0.7980098681880657,,0.7980098681880657,0.7980098681880657,0.7980098681880657,0.7980098681880657,0.7980098681880657,0.7980098681880657
SUWANNEE,Tioga_A,1999,4.0,1.0,0.9856177482064044,,0.9856177482064044,0.9856177482064044,0.9856177482064044,0.9856177482064044,0.9856177482064044,0.9856177482064044
SUWANNEE,Tioga_A,1999,5.0,1.0,0.7266499359480536,,0.7266499359480536,0.7266499359480536,0.7266499359480536,0.7266499359480536,0.7266499359480536,0.7266499359480536
SUWANNEE,Tioga_A,2000,5.0,1.0,0.8951011056350647,,0.8951011056350647,0.8951011056350647,0.8951011056350647,0.8951011056350647,0.8951011056350647,0.8951011056350647
